[0.14, 0.163, 0.196, 0.185, 0.146, 0.169]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.16, 0.2, 0.19, 0.145, 0.166]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.162, 0.199, 0.188, 0.146, 0.165]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.162, 0.199, 0.19, 0.146, 0.164]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.165, 0.2, 0.189, 0.145, 0.162]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.14, 0.132, 0.207, 0.224, 0.139, 0.159]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.134, 0.206, 0.221, 0.14, 0.16]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.139, 0.133, 0.206, 0.221, 0.14, 0.161]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.14, 0.132, 0.205, 0.223, 0.139, 0.162]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.141, 0.131, 0.206, 0.221, 0.139, 0.162]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.141, 0.132, 0.205, 0.221, 0.138, 0.164]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.134, 0.169, 0.2, 0.197, 0.146, 0.154]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.134, 0.17, 0.198, 0.199, 0.145, 0.154]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.133, 0.17, 0.2, 0.197, 0.145, 0.155]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.135, 0.169, 0.2, 0.198, 0.145, 0.154]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.133, 0.169, 0.202, 0.198, 0.145, 0.152]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.133, 0.171, 0.199, 0.197, 0.146, 0.154]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.125, 0.163, 0.202, 0.177, 0.148, 0.185]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.124, 0.162, 0.204, 0.177, 0.149, 0.183]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.124, 0.161, 0.205, 0.176, 0.149, 0.184]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[0.123, 0.156, 0.208, 0.175, 0.15, 0.188]
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
